model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,error_type,error_message
qwen2.5-coder:32b,grounded,T012,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T012_grounded.json,1,1,1,2498,1,1,0.086,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T012/T012_hospital_count_by_tract.gpkg,,
qwen2.5-coder:32b,grounded,T013,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T013_grounded.json,1,1,1,2498,1,1,0.099,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T013/T013_school_density_by_tract.gpkg,,
qwen2.5-coder:32b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.078,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T014/T014_tracts_with_schools.gpkg,,
qwen2.5-coder:32b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T016_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T016/T016_temperature_clip.tif,,
qwen2.5-coder:32b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T017_grounded.json,1,1,1,117,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T017/T017_temperature_clip_nodata.tif,,
qwen2.5-coder:32b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T018_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:32b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T019_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T019/T019_temperature_clip_compressed.tif,,
qwen2.5-coder:32b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T020_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T020/T020_temperature_clip_metadata.tif,,
qwen2.5-coder:32b,grounded,T021,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T021_grounded.json,1,1,1,2498,1,1,1.335,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T021/T021_temperature_zonal_stats.gpkg,,
qwen2.5-coder:32b,grounded,T022,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T022_grounded.json,1,1,1,2498,1,1,1.385,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T022/T022_temperature_mean_by_tract.gpkg,,
qwen2.5-coder:32b,grounded,T023,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T023_grounded.json,1,1,1,8,1,1,1.313,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T023/T023_temperature_stats_hot_tracts.gpkg,,
qwen2.5-coder:32b,grounded,T026,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T026_grounded.json,1,1,1,117700,1,1,0.331,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T026/T026_temperature_choropleth.png,,
qwen2.5-coder:3b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_3b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.078,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_3b/grounded/T014/T014_tracts_with_schools.gpkg,,
qwen2.5-coder:3b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_3b/grounded/T016_grounded.json,1,1,1,44,1,1,0.009,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_3b/grounded/T016/T016_temperature_clip.tif,,
qwen2.5-coder:3b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_3b/grounded/T017_grounded.json,1,1,1,44,1,1,0.023,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_3b/grounded/T017/T017_temperature_clip_nodata.tif,,
